天地玄黄 天是青黑色，地是黄色。
韩弊烦刑 韩非被繁苛的刑法所害。
起翦颇牧 白起、王翦、廉颇、李牧四位名将。
用军最精 用兵最为精通。
宣威沙漠 他们的威名远扬到北方沙漠。
驰誉丹青 美名被画像留在史册。
九州禹迹 九州都留有大禹治水的足迹。
百郡秦并 秦朝统一天下，设立郡县。
岳宗泰岱 五岳以泰山为尊。
禅主云亭 帝王封禅，多在云云山、亭亭山祭地。
雁门紫塞 名关有雁门关，长城又叫紫塞。
鸡田赤城 边地有鸡田驿，名山有赤城山。
昆池碣石 名胜有昆明池、碣石山。
钜野洞庭 还有钜野泽、洞庭湖。
旷远绵邈 山河辽阔遥远，连绵不断。
岩岫杳冥 山峰岩洞幽深昏暗。
治本于农 治国的根本在于农业。
务兹稼穑 要致力于播种和收获。
俶载南亩 开春在向阳的田地上耕作。
我艺黍稷 我种下黄米和小米。
税熟贡新 庄稼熟了交税，献上新谷。
劝赏黜陟 据此奖惩官员，该降的降，该升的升。
孟轲敦素 孟子崇尚纯朴。
史鱼秉直 史鱼秉性正直。
庶几中庸 做人要力求中庸。
劳谦谨敕 勤劳谦虚，谨慎自律。
聆音察理 听别人说话，要体察其中道理。
鉴貌辨色 看别人的神色，要分辨其中心意。
贻厥嘉猷 给后人留下好的谋略。
勉其祗植 勉励他们恭敬地立身。
省躬讥诫 听到讥讽告诫，要反省自身。
宠增抗极 受宠越多，越要警惕走向极端。
殆辱近耻 眼看要受辱蒙羞时。
林皋幸即 不如趁早退隐山林。
两疏见机 汉代疏广、疏受叔侄看准时机。
解组谁逼 主动辞官，谁逼过他们呢？
索居闲处 独自居住，悠闲度日。
沉默寂寥 不多说话，清静安宁。
求古寻论 探求古人的学问。
散虑逍遥 抛开烦恼，自在逍遥。
欣奏累遣 欢乐来了，烦累就被赶走。
戚谢欢招 忧愁消失，欢乐到来。
渠荷的历 池塘里的荷花鲜艳明亮。
园莽抽条 园中草木抽出新枝。
枇杷晚翠 枇杷到了冬天依然翠绿。
梧桐蚤凋 梧桐树叶很早就凋落（蚤，同“早”）。
陈根委翳 老树根枯萎倒伏。
落叶飘摇 落叶随风飘荡。
游鹍独运 鹍鸟独自飞翔。
凌摩绛霄 高飞直上彩霞满天的云霄。
耽读玩市 王充爱读书，常在书市看书。
寓目囊箱 看过的书像装进书袋书箱，过目不忘。
易輶攸畏 说话轻率随便，最可怕。
属耳垣墙 要提防隔墙有耳。
具膳餐饭 准备饭菜用餐。
适口充肠 合口味、能吃饱就好。
饱饫烹宰 吃饱了，再好的鱼肉也不想吃。
饥厌糟糠 饿了，粗粮也吃得满足。
亲戚故旧 招待亲戚和老朋友。
老少异粮 老人和孩子的饭食要不同。
妾御绩纺 妻妾在家纺线织布。
侍巾帷房 在内室侍奉起居。
纨扇圆洁 绢制团扇圆润洁白。
银烛炜煌 银色蜡烛明亮辉煌。
昼眠夕寐 白天小憩，晚上安睡。
蓝笋象床 有青竹席和象牙床。
弦歌酒宴 奏乐唱歌，摆酒设宴。
接杯举觞 互相接杯，举杯畅饮。
矫手顿足 高兴得手舞足蹈。
悦豫且康 快乐又安康。
嫡后嗣续 嫡长子继承家业，传宗接代。
祭祀烝尝 按时祭祀祖先，冬祭叫烝，秋祭叫尝。
稽颡再拜 磕头叩拜，再三行礼。
悚惧恐惶 心怀敬畏，诚惶诚恐。
笺牒简要 书信要简明扼要。
顾答审详 回答问题要周全详细。
骸垢想浴 身上脏了就想洗澡。
执热愿凉 手拿热东西就希望它凉。
驴骡犊特 驴、骡、小牛、公牛。
骇跃超骧 受惊时蹦跳奔腾。
诛斩贼盗 惩办盗贼。
捕获叛亡 抓捕叛乱逃亡的人。
布射僚丸 吕布善射箭，熊宜僚善弄弹丸。
嵇琴阮啸 嵇康善弹琴，阮籍善长啸。
恬笔伦纸 蒙恬造毛笔，蔡伦造纸。
钧巧任钓 马钧巧制器械，任公子善钓鱼。
释纷利俗 他们的技艺解决难题，便利百姓。
并皆佳妙 都非常高明巧妙。
毛施淑姿 毛嫱、西施容貌美好。
工颦妍笑 皱眉好看，笑起来更美。
年矢每催 岁月像箭一样，总在催人老。
曦晖朗曜 太阳的光辉明亮照耀。
璇玑悬斡 北斗星高挂天空旋转。
晦魄环照 月亮由暗到明，循环照耀。
指薪修祜 像薪尽火传一样，修德积福，传承不断。
永绥吉劭 永远平安，吉祥美好。
矩步引领 走路步伐端正，抬头挺胸。
俯仰廊庙 在朝堂上举止合乎礼仪。
束带矜庄 衣带整齐，庄重严肃。
徘徊瞻眺 走动和观望都要从容得体。
孤陋寡闻 我学识浅陋，见闻不多。
愚蒙等诮 和愚昧的人一样该被讥笑。
谓语助者 文言里的语气助词。
焉哉乎也 有焉、哉、乎、也这几个字。
